####### BEGIN TOOL bininfo vs18 x64 avx2 [2026-09-10_09-16-45] #######
************************************
ext:      [exe,dll,so]
checkavx: ON
recurse:  ON
>>>>>> D:/github/NONO_subversion <<<<<<
filename                                  date              x   link  set           cl     pver      pdb ©   product                                 description
/vs18/x64-avx/deps/libapr-1.dll             05:53 10/09/2026  64  ltcg  avx (669)     14.51  1.7.7     OK  OK  libapr-1                                arch:x64-avx vcver:14.51[vs18] branch:1.7.x commit:6607b119c date:2026-08-03
/vs18/x64-avx/deps/libaprutil-1.dll         05:53 10/09/2026  64  ltcg  avx (1067)    14.51  1.7.0     OK  OK  libaprutil-1                            arch:x64-avx vcver:14.51[vs18] branch:1.7.x commit:78161521 date:2026-08-25
/vs18/x64-avx/deps/libcrypto-3-x64.dll      05:51 10/09/2026  64  ltcg  avx (96469)   14.51  3.6.4     OK  OK  libcrypto-3-x64                         arch:x64-avx vcver:14.51[vs18] tag:3.6.4 date:2026-08-25
/vs18/x64-avx/deps/libexpat.dll             05:50 10/09/2026  64  ltcg  avx (152)     14.51  2.8.4     OK  OK  libexpat                                arch:x64-avx vcver:14.51[vs18] tag:2.8.4 date:2026-08-31
/vs18/x64-avx/deps/libiconv.dll             05:53 10/09/2026  64  ltcg  avx (35)      14.51  1.19      OK  OK  libiconv                                arch:x64-avx vcver:14.51[vs18] tag:1.19 date:2026-04-21
/vs18/x64-avx/deps/libserf-2.dll            05:54 10/09/2026  64  ltcg  avx (363)     14.51  2.0.0     OK  OK  libserf-2                               arch:x64-avx vcver:14.51[vs18] branch:trunk commit:1a26bcb date:2026-07-02
/vs18/x64-avx/deps/libsqlite3.dll           05:53 10/09/2026  64  ltcg  avx (8419)    14.51  3.53.4    OK  OK  libsqlite3                              arch:x64-avx vcver:14.51[vs18] tag:3.53.4 date:2026-07-25
/vs18/x64-avx/deps/libssl-3-x64.dll         05:52 10/09/2026  64  ltcg  avx (1716)    14.51  3.6.4     OK  OK  libssl-3-x64                            arch:x64-avx vcver:14.51[vs18] tag:3.6.4 date:2026-08-25
/vs18/x64-avx/deps/z.dll                    05:49 10/09/2026  64  ltcg  avx (42)      14.51  1.3.2     OK  OK  z                                       arch:x64-avx vcver:14.51[vs18] tag:1.3.2 date:2026-02-17
/vs18/x64-avx/libsvn_client-1.dll           09:10 10/09/2026  64  ltcg  avx (983)     14.51  1.15.0.4  OK  OK  libsvn_client-1                         arch:x64-avx vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx/libsvn_delta-1.dll            09:09 10/09/2026  64  ltcg  avx (99)      14.51  1.15.0.4  OK  OK  libsvn_delta-1                          arch:x64-avx vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx/libsvn_diff-1.dll             09:09 10/09/2026  64  ltcg  avx (149)     14.51  1.15.0.4  OK  OK  libsvn_diff-1                           arch:x64-avx vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx/libsvn_fs-1.dll               09:10 10/09/2026  64  ltcg  avx (34)      14.51  1.15.0.4  OK  OK  libsvn_fs-1                             arch:x64-avx vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx/libsvn_fs_fs-1.dll            09:10 10/09/2026  64  ltcg  avx (819)     14.51  1.15.0.4  OK  OK  libsvn_fs_fs-1                          arch:x64-avx vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx/libsvn_fs_util-1.dll          09:09 10/09/2026  64  ltcg  avx (8)       14.51  1.15.0.4  OK  OK  libsvn_fs_util-1                        arch:x64-avx vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx/libsvn_fs_x-1.dll             09:10 10/09/2026  64  ltcg  avx (1079)    14.51  1.15.0.4  OK  OK  libsvn_fs_x-1                           arch:x64-avx vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx/libsvn_ra-1.dll               09:10 10/09/2026  64  ltcg  avx (46)      14.51  1.15.0.4  OK  OK  libsvn_ra-1                             arch:x64-avx vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx/libsvn_ra_local-1.dll         09:10 10/09/2026  64  ltcg  avx (29)      14.51  1.15.0.4  OK  OK  libsvn_ra_local-1                       arch:x64-avx vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx/libsvn_ra_serf-1.dll          09:10 10/09/2026  64  ltcg  avx (658)     14.51  1.15.0.4  OK  OK  libsvn_ra_serf-1                        arch:x64-avx vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx/libsvn_ra_svn-1.dll           09:10 10/09/2026  64  ltcg  avx (240)     14.51  1.15.0.4  OK  OK  libsvn_ra_svn-1                         arch:x64-avx vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx/libsvn_repos-1.dll            09:10 10/09/2026  64  ltcg  avx (498)     14.51  1.15.0.4  OK  OK  libsvn_repos-1                          arch:x64-avx vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx/libsvn_subr-1.dll             09:09 10/09/2026  64  ltcg  avx (2199)    14.51  1.15.0.4  OK  OK  libsvn_subr-1                           arch:x64-avx vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx/libsvn_wc-1.dll               09:10 10/09/2026  64  ltcg  avx (967)     14.51  1.15.0.4  OK  OK  libsvn_wc-1                             arch:x64-avx vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx/libsvnjavahl-1.dll            09:10 10/09/2026  64  ltcg  avx (540)     14.51  1.15.0.4  OK  OK  libsvnjavahl-1                          arch:x64-avx vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx/mod_authz_svn.so              09:10 10/09/2026  64  ltcg  avx (5)       14.51  1.15.0.4  OK  OK  mod_authz_svn                           arch:x64-avx vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx/mod_dav_svn.so                09:10 10/09/2026  64  ltcg  avx (152)     14.51  1.15.0.4  OK  OK  mod_dav_svn                             arch:x64-avx vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx/mod_dontdothat.so             09:10 10/09/2026  64  ltcg  avx (7)       14.51  1.15.0.4  OK  OK  mod_dontdothat                          arch:x64-avx vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx/svn.exe                       09:10 10/09/2026  64  ltcg  avx (136)     14.51  1.15.0.4  OK  OK  svn                                     arch:x64-avx vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx/svnadmin.exe                  09:10 10/09/2026  64  ltcg  avx (18)      14.51  1.15.0.4  OK  OK  svnadmin                                arch:x64-avx vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx/svnauthz-validate.exe         09:10 10/09/2026  64  ltcg  avx (5)       14.51  1.15.0.4  OK  OK  svnauthz-validate                       arch:x64-avx vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx/svnauthz.exe                  09:10 10/09/2026  64  ltcg  avx (5)       14.51  1.15.0.4  OK  OK  svnauthz                                arch:x64-avx vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx/svnbench.exe                  09:10 10/09/2026  64  ltcg  avx (70)      14.51  1.15.0.4  OK  OK  svnbench                                arch:x64-avx vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx/svndumpfilter.exe             09:10 10/09/2026  64  ltcg  avx (5)       14.51  1.15.0.4  OK  OK  svndumpfilter                           arch:x64-avx vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx/svnfsfs.exe                   09:10 10/09/2026  64  ltcg  avx (94)      14.51  1.15.0.4  OK  OK  svnfsfs                                 arch:x64-avx vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx/svnlook.exe                   09:10 10/09/2026  64  ltcg  avx (16)      14.51  1.15.0.4  OK  OK  svnlook                                 arch:x64-avx vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx/svnmucc.exe                   09:10 10/09/2026  64  ltcg  avx (9)       14.51  1.15.0.4  OK  OK  svnmucc                                 arch:x64-avx vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx/svnraisetreeconflict.exe      09:10 10/09/2026  64  ltcg                14.51  1.15.0.4  OK  OK  svnraisetreeconflict                    arch:x64-avx vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx/svnrdump.exe                  09:10 10/09/2026  64  ltcg  avx (59)      14.51  1.15.0.4  OK  OK  svnrdump                                arch:x64-avx vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx/svnserve.exe                  09:10 10/09/2026  64  ltcg  avx (42)      14.51  1.15.0.4  OK  OK  svnserve                                arch:x64-avx vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx/svnsync.exe                   09:10 10/09/2026  64  ltcg  avx (13)      14.51  1.15.0.4  OK  OK  svnsync                                 arch:x64-avx vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx/svnversion.exe                09:10 10/09/2026  64  ltcg                14.51  1.15.0.4  OK  OK  svnversion                              arch:x64-avx vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx2/adler32-test.exe             07:47 08/07/2026  64  ltcg  avx (8)       14.51  1.16.0    OK  OK  adler32-test                            arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/afl-svndiff.exe              07:47 08/07/2026  64  ltcg                14.51  1.16.0    OK  OK  afl-svndiff                             arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/afl-x509.exe                 07:47 08/07/2026  64  ltcg                14.51  1.16.0    OK  OK  afl-x509                                arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/atomic-ra-revprop-change.exe 07:47 08/07/2026  64  ltcg                14.51  1.16.0    OK  OK  atomic-ra-revprop-change                arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
